product_id,title,authors,original_price,current_price,quantity,category,n_review,avg_rating,pages,manufacturer,discount
6807847,Cảm Ơn Người Lớn (Bìa Mềm),Nguyễn Nhật Ánh,110000,79200,31302,Truyện dài,1007,4.8,264,Unknown,0.28
194103341,Bột Nước Muối Men: Nền tảng của bánh mỳ và pizza thủ công,Ken Forkish,360000,264000,132,Sách Nấu ăn,9,5,412,Nhà Xuất Bản Phụ Nữ,0.27
101983078,Ông Nội Vượt Ngục,David Walliams,128000,76800,483,Truyện cười,72,4.8,428,Nhà Xuất Bản Hội Nhà Văn,0.4
184101370,Sức Mạnh Của Thói Quen (Tái Bản 2022),Charles Duhigg,169000,106470,134,Others,12,5,436,Nhà Xuất Bản Lao Động,0.37
980770,Chí Phèo,Nam Cao,48000,36100,1932,Truyện ngắn - Tản văn - Tạp Văn,314,4.8,207,Unknown,0.25
58946834,Sách PACE Books - Lãnh đạo tỉnh thức (The Mindful Leader) - Michael Bunting,Michael Bunting,105000,83500,642,"Sách quản trị, lãnh đạo",58,5,212,Nhà Xuất Bản Tổng hợp TP.HCM,0.2
197558906,Tanaka Lúc Nào Cũng Vật Vờ - Tập 2,Nozomi Uda,38000,37000,219,Others,28,5,330,Nhà Xuất Bản Kim Đồng,0.03
193209826,Con Đường Tơ Lụa - Vạn Dặm Xa Từ Pakistan Tới Tây An,Trần Hồng Ngọc,129000,88300,71,Du ký,7,5,216,Nhà Xuất Bản Lao Động,0.32
160370177,Không Ai Qua Sông (Tập Truyện Ngắn Nguyễn Ngọc Tư)(Tái Bản),Nguyễn Ngọc Tư,100000,71900,127,Truyện ngắn - Tản văn - Tạp Văn,13,4.8,170,NXB Trẻ,0.28
40433264,Combo Bí Ẩn Mãi Mãi Là Bí Ẩn( Trọn bộ 6 cuốn)( tặng kèm sổ Tay Xương Rồng),Unknown,270000,175000,738,Kiến Thức Bách Khoa,169,5,330,NXB Trẻ,0.35
24862418,Stephen Hawking: Một Trí Tuệ Không Giới Hạn,BBC,189000,126630,18,Tiểu sử - Hồi ký,5,3.8,110,Nhà Xuất Bản Tri Thức,0.33
